KappaT,Bond,Height,Zcm,Width,Rfoot,Perimeter,SurfaceArea
1.999996658765343e+00,5.011872336272612e-06,1.999975336800544e+00,9.999767289748605e-01,1.000000835318210e+00,8.393387598886155e-04,3.141590038759889e+00,1.256637061479318e+01
1.999995793634146e+00,6.309573444801788e-06,1.999969671243726e+00,9.999714238876979e-01,1.000001051600769e+00,1.012662751333957e-03,3.141589362751334e+00,1.256637061492393e+01
1.999994704499498e+00,7.943282347242627e-06,1.999962691724295e+00,9.999648981716768e-01,1.000001323884033e+00,1.215412193243575e-03,3.141588512193243e+00,1.256637061512578e+01
1.999993333361827e+00,9.999999999999755e-06,1.999954091723541e+00,9.999568694739490e-01,1.000001666667789e+00,1.451542100683113e-03,3.141587442100683e+00,1.256637061543732e+01
1.999991607204352e+00,1.258925411794135e-05,1.999943491110735e+00,9.999469880864659e-01,1.000002098206072e+00,1.724695932733125e-03,3.141586095932733e+00,1.256637061591826e+01
1.999989434104961e+00,1.584893192461072e-05,1.999930423408261e+00,9.999348258309013e-01,1.000002641479131e+00,2.039402630007764e-03,3.141584402630008e+00,1.256637061666096e+01
1.999986698341497e+00,1.995262314968826e-05,1.999914313090153e+00,9.999198553963436e-01,1.000003325417072e+00,2.400272911433907e-03,3.141582272911434e+00,1.256637061780810e+01
1.999983254229371e+00,2.511886431509510e-05,1.999894452477658e+00,9.999014298021370e-01,1.000004186439839e+00,2.812494624507576e-03,3.141579594624508e+00,1.256637061957045e+01
1.999978918366345e+00,3.162277660168289e-05,1.999869972237280e+00,9.998787561255670e-01,1.000005270397883e+00,3.282026929777058e-03,3.141576226929777e+00,1.256637062230865e+01
1.999973459864697e+00,3.981071705534855e-05,1.999839803035831e+00,9.998508612267183e-01,1.000006635010833e+00,3.815093011646709e-03,3.141571993011647e+00,1.256637062653943e+01
1.999966588060348e+00,5.011872336272571e-05,1.999802633858114e+00,9.998165551842526e-01,1.000008352941834e+00,4.419170967075500e-03,3.141566670967075e+00,1.256637063307571e+01
1.999957937038065e+00,6.309573444801737e-05,1.999756855524317e+00,9.997743812573693e-01,1.000010515665142e+00,5.102382420547845e-03,3.141559982420548e+00,1.256637064317298e+01
1.999947046152318e+00,7.943282347242562e-05,1.999700495206497e+00,9.997225585129841e-01,1.000013238334876e+00,5.873778305135646e-03,3.141551578305136e+00,1.256637065876789e+01
1.999933335507680e+00,9.999999999999673e-05,1.999631136961885e+00,9.996589125667628e-01,1.000016665913324e+00,6.743721128375888e-03,3.141541021128376e+00,1.256637068284643e+01
1.999916075095457e+00,1.258925411794125e-04,1.999545824074638e+00,9.995807907705067e-01,1.000020980884290e+00,7.723962882972578e-03,3.141527762882972e+00,1.256637072001007e+01
1.999894345946740e+00,1.584893192461059e-04,1.999440939371760e+00,9.994849586922238e-01,1.000026412960834e+00,8.827317571331131e-03,3.141511117571331e+00,1.256637077734526e+01
1.999866991239510e+00,1.995262314968809e-04,1.999312064044844e+00,9.993674792746419e-01,1.000033251302152e+00,1.006842707690552e-02,3.141490227076905e+00,1.256637086575553e+01
1.999832554763729e+00,2.511886431509490e-04,1.999153805002081e+00,9.992235657721207e-01,1.000041859884906e+00,1.146401885472263e-02,3.141464018854723e+00,1.256637100195776e+01
1.999789203495472e+00,3.162277660168263e-04,1.998959584003024e+00,9.990474030541711e-01,1.000052696853309e+00,1.303235362922200e-02,3.141431153629222e+00,1.256637121179510e+01
1.999734630149923e+00,3.981071705534823e-04,1.998721389237181e+00,9.988319396531610e-01,1.000066338841466e+00,1.479426078292494e-02,3.141389960782925e+00,1.256637153473549e+01
1.999665930605099e+00,5.011872336272530e-04,1.998429473313618e+00,9.985686366027002e-01,1.000083511587128e+00,1.677315892717593e-02,3.141338358927176e+00,1.256637203135100e+01
1.999579449697162e+00,6.309573444801685e-04,1.998071991579551e+00,9.982471696603543e-01,1.000105128416394e+00,1.899505845410490e-02,3.141273758454105e+00,1.256637279436627e+01
1.999470587291952e+00,7.943282347242497e-04,1.997634573457023e+00,9.978550808936039e-01,1.000132338630574e+00,2.148954250492631e-02,3.141192942504926e+00,1.256637396565347e+01
1.999333554439332e+00,1.000000000000000e-03,1.997099807382568e+00,9.973773643529893e-01,1.000166588301750e+00,2.428932219032388e-02,3.141091922190324e+00,1.256637576175544e+01
1.999252266091104e+00,1.122018454301963e-03,1.996789499428911e+00,9.971008932450971e-01,1.000186904397254e+00,2.581503538469944e-02,3.141032335384699e+00,1.256637699148097e+01
1.999161066898421e+00,1.258925411794166e-03,1.996446635637751e+00,9.967959872177969e-01,1.000209696653874e+00,2.743136151161932e-02,3.140965761511619e+00,1.256637851302708e+01
1.999058749575579e+00,1.412537544622753e-03,1.996067895720063e+00,9.964598268025220e-01,1.000235266490724e+00,2.914340106683057e-02,3.140891401066831e+00,1.256638039502348e+01
1.998943960054410e+00,1.584893192461111e-03,1.995649636444555e+00,9.960893301750174e-01,1.000263951926820e+00,3.095696688392028e-02,3.140808366883920e+00,1.256638272222852e+01
1.998815179693484e+00,1.778279410038919e-03,1.995187859885485e+00,9.956811286767749e-01,1.000296131987986e+00,3.287787522918070e-02,3.140715675229181e+00,1.256638559893080e+01
1.998670705375916e+00,1.995262314968875e-03,1.994678183463309e+00,9.952315449609925e-01,1.000332231658892e+00,3.491253619743891e-02,3.140612236197438e+00,1.256638915363475e+01
1.998508627205017e+00,2.238721138568333e-03,1.994115804079661e+00,9.947365661948786e-01,1.000372727411725e+00,3.706744329376720e-02,3.140496843293767e+00,1.256639354447104e+01
1.998326803553149e+00,2.511886431509572e-03,1.993495462869357e+00,9.941918189143854e-01,1.000418153406216e+00,3.934966224998338e-02,3.140368162249983e+00,1.256639896622375e+01
1.998122833098964e+00,2.818382931264444e-03,1.992811405056482e+00,9.935925401808134e-01,1.000469108393338e+00,4.176661893104952e-02,3.140224718931049e+00,1.256640565816792e+01
1.997894023573162e+00,3.162277660168366e-03,1.992057338387563e+00,9.929335485799990e-01,1.000526263461468e+00,4.432628649440067e-02,3.140064886494400e+00,1.256641391443646e+01
1.997637356760872e+00,3.548133892335738e-03,1.991226386821770e+00,9.922092119412826e-01,1.000590370660862e+00,4.703677164073967e-02,3.139886871640739e+00,1.256642409590489e+01
1.997349449473187e+00,3.981071705534953e-03,1.990311044701907e+00,9.914134170279537e-01,1.000662272722818e+00,4.990690033510937e-02,3.139688700335109e+00,1.256643664695413e+01
1.997026509678417e+00,4.466835921509607e-03,1.989303125154001e+00,9.905395354052637e-01,1.000742913694001e+00,5.294600214952818e-02,3.139468202149528e+00,1.256645211038785e+01
1.996664287806637e+00,5.011872336272694e-03,1.988193706194271e+00,9.895803886714530e-01,1.000833351074858e+00,5.616369476564238e-02,3.139222994765642e+00,1.256647115290379e+01
1.996258022142222e+00,5.623413251903456e-03,1.986973075613319e+00,9.885282147549408e-01,1.000934769140920e+00,5.957026732723409e-02,3.138950467327234e+00,1.256649459053234e+01
1.995802377970690e+00,6.309573444801891e-03,1.985630672155620e+00,9.873746327338760e-01,1.001048493857891e+00,6.317666364162051e-02,3.138647763641620e+00,1.256652342169060e+01
1.995291379694407e+00,7.079457843841330e-03,1.984155023368483e+00,9.861106068416339e-01,1.001176009466322e+00,6.699416518576176e-02,3.138311765185762e+00,1.256655886696681e+01
1.994718335170342e+00,7.943282347242757e-03,1.982533684184752e+00,9.847264139293764e-01,1.001318976903179e+00,7.103497417805270e-02,3.137939074178052e+00,1.256660241695122e+01
1.994075751454499e+00,8.912509381337386e-03,1.980753169781418e+00,9.832116081432978e-01,1.001479254269442e+00,7.531149715757940e-02,3.137525997157579e+00,1.256665589042030e+01
1.993355241050554e+00,9.999999999999919e-03,1.978798891957842e+00,9.815549922888068e-01,1.001658919504389e+00,7.983712938461270e-02,3.137068529384613e+00,1.256672150394846e+01
1.992547417696914e+00,1.122018454301954e-02,1.976655091566327e+00,9.797445886364697e-01,1.001860295498062e+00,8.462594068532571e-02,3.136562340685325e+00,1.256680195585609e+01
1.991641780706108e+00,1.258925411794156e-02,1.974304771327769e+00,9.777676136676697e-01,1.002085977897414e+00,8.969236350013485e-02,3.136002763500135e+00,1.256690052812418e+01
1.990626586596296e+00,1.412537544622741e-02,1.971729632534996e+00,9.756104605874650e-01,1.002338865680589e+00,9.505178343467406e-02,3.135384783434674e+00,1.256702120561383e+01
1.989488707043506e+00,1.584893192461098e-02,1.968910011858359e+00,9.732586858090327e-01,1.002622194935658e+00,1.007203338749598e-01,3.134703033874959e+00,1.256716882133829e+01
1.988213471782759e+00,1.778279410038905e-02,1.965824821875874e+00,9.706970032771161e-01,1.002939575948376e+00,1.067146953337337e-01,3.133951795333734e+00,1.256734922874168e+01
1.986784495185181e+00,1.995262314968858e-02,1.962451498161363e+00,9.679092895244740e-01,1.003295033829830e+00,1.130523007703085e-01,3.133125000770308e+00,1.256756950578719e+01
1.985183485257560e+00,2.238721138568315e-02,1.958765953598227e+00,9.648786000720564e-01,1.003693052967896e+00,1.197515485037119e-01,3.132216248503711e+00,1.256783819788964e+01
1.983390033617606e+00,2.511886431509551e-02,1.954742538984236e+00,9.615871962464967e-01,1.004138625433924e+00,1.268311241131626e-01,3.131218824113162e+00,1.256816560407493e+01
1.981381385285588e+00,2.818382931264420e-02,1.950354020172563e+00,9.580165923091755e-01,1.004637303586734e+00,1.343109333211750e-01,3.130125733321175e+00,1.256856411494422e+01
1.979132186754245e+00,3.162277660168340e-02,1.945571562666227e+00,9.541476137062144e-01,1.005195256877249e+00,1.422110474632154e-01,3.128929747463215e+00,1.256904860687726e+01
1.976614211635627e+00,3.548133892335709e-02,1.940364738806937e+00,9.499604806459305e-01,1.005819333226344e+00,1.505524645915480e-01,3.127623464591548e+00,1.256963690818508e+01
1.973796062179290e+00,3.981071705534921e-02,1.934701550594959e+00,9.454349099279108e-01,1.006517124445981e+00,1.593568868964284e-01,3.126199386896428e+00,1.257035033311024e+01
1.970642846671802e+00,4.466835921509571e-02,1.928548474534445e+00,9.405502397760948e-01,1.007297036319747e+00,1.686462190325806e-01,3.124650019032581e+00,1.257121431094167e+01
1.967115831491665e+00,5.011872336272653e-02,1.921870534071403e+00,9.352855826899229e-01,1.008168362362533e+00,1.784430874832396e-01,3.122967987483239e+00,1.257225910144427e+01
1.963172068488209e+00,5.623413251903410e-02,1.914631397545016e+00,9.296200021263977e-01,1.009141361648073e+00,1.887703857085541e-01,3.121146185708554e+00,1.257352062556628e+01
1.958763997552985e+00,6.309573444801840e-02,1.906793507697859e+00,9.235327178116203e-01,1.010227339490428e+00,1.996513454093150e-01,3.119177945409315e+00,1.257504140525872e+01
1.953839026171995e+00,7.079457843841272e-02,1.898318243210656e+00,9.170033375358750e-01,1.011438730803089e+00,2.111092377947629e-01,3.117057237794763e+00,1.257687163664336e+01
1.948339087866952e+00,7.943282347242692e-02,1.889166116275890e+00,9.100121171796078e-01,1.012789184877784e+00,2.231676058996415e-01,3.114778905899641e+00,1.257907039942678e+01
1.942200182508097e+00,8.912509381337314e-02,1.879297002378963e+00,9.025402425932236e-01,1.014293650234611e+00,2.358495291098782e-01,3.112338929109878e+00,1.258170700893785e+01
1.935351903803757e+00,1.000000000000000e-01,1.868670409496320e+00,8.945701368812710e-01,1.015968458466395e+00,2.491779221502117e-01,3.109734722150212e+00,1.258486252950647e+01
1.933890448138759e+00,1.023292992280754e-01,1.866450621546127e+00,8.929148870450201e-01,1.016325400605502e+00,2.519230660678339e-01,3.109194066067834e+00,1.258556396116810e+01
1.932396896658531e+00,1.047128548050900e-01,1.864198587908466e+00,8.912389420226919e-01,1.016690012937135e+00,2.546953041806727e-01,3.108646804180673e+00,1.258629070488491e+01
1.930870584612200e+00,1.071519305237607e-01,1.861913984433705e+00,8.895421844649511e-01,1.017062447563750e+00,2.574945429933454e-01,3.108092942993345e+00,1.258704361112168e+01
1.929310835247290e+00,1.096478196143185e-01,1.859596488935092e+00,8.878245015107950e-01,1.017442859120034e+00,2.603210927264469e-01,3.107532492726447e+00,1.258782355649583e+01
1.927716959464556e+00,1.122018454301964e-01,1.857245779258877e+00,8.860857830170208e-01,1.017831404697694e+00,2.631750671706112e-01,3.106965467170611e+00,1.258863144210128e+01
1.926088255877990e+00,1.148153621496883e-01,1.854861534603090e+00,8.843259226898187e-01,1.018228244022382e+00,2.660566842594326e-01,3.106391884259432e+00,1.258946819788586e+01
1.924424010510906e+00,1.174897554939530e-01,1.852443435098629e+00,8.825448177890407e-01,1.018633539337403e+00,2.689661658113627e-01,3.105811765811362e+00,1.259033478004056e+01
1.922723496713569e+00,1.202264434617413e-01,1.849991161462818e+00,8.807423687147216e-01,1.019047455521150e+00,2.719035379406385e-01,3.105225137940638e+00,1.259123217400294e+01
1.920985974984030e+00,1.230268770812382e-01,1.847504396215585e+00,8.789184802397624e-01,1.019470160002453e+00,2.748690308932235e-01,3.104632030893223e+00,1.259216139265523e+01
1.919210692920891e+00,1.258925411794168e-01,1.844982823088139e+00,8.770730608212771e-01,1.019901822924937e+00,2.778627796069211e-01,3.104032479606921e+00,1.259312348051421e+01
1.917396884937221e+00,1.288249551693134e-01,1.842426127502052e+00,8.752060231868707e-01,1.020342616983601e+00,2.808850233224003e-01,3.103426523322400e+00,1.259411951009508e+01
1.915543772266843e+00,1.318256738556407e-01,1.839833996339364e+00,8.733172839619850e-01,1.020792717621690e+00,2.839359062508138e-01,3.102814206250814e+00,1.259515058694277e+01
1.913650562708779e+00,1.348962882591654e-01,1.837206117899310e+00,8.714067637075229e-01,1.021252302928616e+00,2.870154773662070e-01,3.102195577366207e+00,1.259621784752058e+01
1.911716450582065e+00,1.380384264602885e-01,1.834542183002515e+00,8.694743879275154e-01,1.021721553681971e+00,2.901239906357815e-01,3.101570690635781e+00,1.259732246060603e+01
1.909740616561946e+00,1.412537544622755e-01,1.831841884507982e+00,8.675200865896114e-01,1.022200653364012e+00,2.932617051623799e-01,3.100939605162380e+00,1.259846562807552e+01
1.907722227510290e+00,1.445439770745928e-01,1.829104916244717e+00,8.655437930644388e-01,1.022689788218092e+00,2.964284854673142e-01,3.100302385467314e+00,1.259964858671180e+01
1.905660436464188e+00,1.479108388168208e-01,1.826330975858348e+00,8.635454468524463e-01,1.023189147180374e+00,2.996247013941284e-01,3.099659101394128e+00,1.260087260703112e+01
1.903554382436145e+00,1.513561248436209e-01,1.823519762838319e+00,8.615249916458261e-01,1.023698921956214e+00,3.028505284570987e-01,3.099009828457099e+00,1.260213899563509e+01
1.901403190254674e+00,1.548816618912482e-01,1.820670978594054e+00,8.594823754087962e-01,1.024219306988459e+00,3.061059478659410e-01,3.098354647865941e+00,1.260344909499346e+01
1.899205970576946e+00,1.584893192461114e-01,1.817784327892167e+00,8.574175516773782e-01,1.024750499498879e+00,3.093911467749803e-01,3.097693646774980e+00,1.260480428502281e+01
1.896961819708036e+00,1.621810097358931e-01,1.814859518315202e+00,8.553304790435079e-01,1.025292699461871e+00,3.127063183361305e-01,3.097026918336130e+00,1.260620598308217e+01
