KappaT,Bond,Height,Zcm,Width,Rfoot,Perimeter,SurfaceArea
1.990626586597642e+00,1.412537544622741e-02,1.971729632537304e+00,9.756104605885920e-01,1.002338865681790e+00,9.505178343840039e-02,3.135384783438401e+00,1.256702120564380e+01
1.989488707045494e+00,1.584893192461098e-02,1.968910011861768e+00,9.732586858107074e-01,1.002622194937430e+00,1.007203338804468e-01,3.134703033880446e+00,1.256716882138253e+01
1.988213471782675e+00,1.778279410038905e-02,1.965824821875722e+00,9.706970032770322e-01,1.002939575948302e+00,1.067146953335047e-01,3.133951795333505e+00,1.256734922873980e+01
1.986784495185938e+00,1.995262314968858e-02,1.962451498162652e+00,9.679092895251026e-01,1.003295033830509e+00,1.130523007724065e-01,3.133125000772407e+00,1.256756950580414e+01
1.985183485256200e+00,2.238721138568315e-02,1.958765953595943e+00,9.648786000709568e-01,1.003693052966675e+00,1.197515484999473e-01,3.132216248499947e+00,1.256783819785927e+01
1.983390033617340e+00,2.511886431509551e-02,1.954742538983756e+00,9.615871962462531e-01,1.004138625433679e+00,1.268311241124196e-01,3.131218824112419e+00,1.256816560406886e+01
1.981381385270526e+00,2.818382931264420e-02,1.950354020147355e+00,9.580165922970771e-01,1.004637303573140e+00,1.343109332794707e-01,3.130125733279471e+00,1.256856411460709e+01
1.979132186753217e+00,3.162277660168340e-02,1.945571562664524e+00,9.541476137054050e-01,1.005195256876321e+00,1.422110474603674e-01,3.128929747460367e+00,1.256904860685419e+01
1.976614211621868e+00,3.548133892335709e-02,1.940364738784129e+00,9.499604806350762e-01,1.005819333213838e+00,1.505524645533903e-01,3.127623464553390e+00,1.256963690787587e+01
1.973796062177896e+00,3.981071705534921e-02,1.934701550592655e+00,9.454349099268196e-01,1.006517124444708e+00,1.593568868925554e-01,3.126199386892555e+00,1.257035033307884e+01
1.970642846659559e+00,4.466835921509571e-02,1.928548474514368e+00,9.405502397666313e-01,1.007297036308511e+00,1.686462189985227e-01,3.124650018998523e+00,1.257121431066495e+01
1.967115831490629e+00,5.011872336272653e-02,1.921870534069716e+00,9.352855826891343e-01,1.008168362361580e+00,1.784430874803599e-01,3.122967987480360e+00,1.257225910142088e+01
1.963172068477682e+00,5.623413251903410e-02,1.914631397527961e+00,9.296200021184383e-01,1.009141361638301e+00,1.887703856791698e-01,3.121146185679170e+00,1.257352062532674e+01
1.958763997540277e+00,6.309573444801840e-02,1.906793507677418e+00,9.235327178021470e-01,1.010227339478555e+00,1.996513453737736e-01,3.119177945373774e+00,1.257504140496853e+01
1.953839026188229e+00,7.079457843841272e-02,1.898318243236593e+00,9.170033375478233e-01,1.011438730818374e+00,2.111092378402863e-01,3.117057237840286e+00,1.257687163701582e+01
1.948339087866093e+00,7.943282347242692e-02,1.889166116274523e+00,9.100121171789799e-01,1.012789184876966e+00,2.231676058972235e-01,3.114778905897223e+00,1.257907039940698e+01
1.942200182508788e+00,8.912509381337314e-02,1.879297002380068e+00,9.025402425937339e-01,1.014293650235270e+00,2.358495291118008e-01,3.112338929111801e+00,1.258170700895377e+01
1.935351903800821e+00,1.000000000000000e-01,1.868670409491776e+00,8.945701368792395e-01,1.015968458463550e+00,2.491779221418740e-01,3.109734722141874e+00,1.258486252943792e+01
1.933890448121927e+00,1.023292992280754e-01,1.866450621519924e+00,8.929148870332221e-01,1.016325400589165e+00,2.519230660200891e-01,3.109194066020089e+00,1.258556396077462e+01
1.932396896643217e+00,1.047128548050900e-01,1.864198587884670e+00,8.912389420119979e-01,1.016690012922242e+00,2.546953041372062e-01,3.108646804137206e+00,1.258629070452653e+01
1.930870584609771e+00,1.071519305237607e-01,1.861913984429950e+00,8.895421844632722e-01,1.017062447561384e+00,2.574945429864221e-01,3.108092942986422e+00,1.258704361106473e+01
1.929310835232776e+00,1.096478196143185e-01,1.859596488912628e+00,8.878245015007382e-01,1.017442859105856e+00,2.603210926851793e-01,3.107532492685179e+00,1.258782355615519e+01
1.927716959463366e+00,1.122018454301964e-01,1.857245779257045e+00,8.860857830162037e-01,1.017831404696527e+00,2.631750671672123e-01,3.106965467167212e+00,1.258863144207323e+01
1.926088255876151e+00,1.148153621496883e-01,1.854861534600263e+00,8.843259226885654e-01,1.018228244020579e+00,2.660566842542024e-01,3.106391884254202e+00,1.258946819784264e+01
1.924424010510857e+00,1.174897554939530e-01,1.852443435098565e+00,8.825448177890189e-01,1.018633539337355e+00,2.689661658112055e-01,3.105811765811205e+00,1.259033478003933e+01
1.922723496702821e+00,1.202264434617413e-01,1.849991161446289e+00,8.807423687073584e-01,1.019047455510554e+00,2.719035379099858e-01,3.105225137909986e+00,1.259123217374918e+01
1.920985974985016e+00,1.230268770812382e-01,1.847504396217069e+00,8.789184802404093e-01,1.019470160003426e+00,2.748690308960603e-01,3.104632030896060e+00,1.259216139267857e+01
1.919210692910939e+00,1.258925411794168e-01,1.844982823072911e+00,8.770730608145304e-01,1.019901822915071e+00,2.778627795784688e-01,3.104032479578469e+00,1.259312348027857e+01
1.917396884939115e+00,1.288249551693134e-01,1.842426127504937e+00,8.752060231881424e-01,1.020342616985479e+00,2.808850233278119e-01,3.103426523327812e+00,1.259411951013989e+01
1.915543772270291e+00,1.318256738556407e-01,1.839833996344615e+00,8.733172839642976e-01,1.020792717625125e+00,2.839359062606928e-01,3.102814206260692e+00,1.259515058702463e+01
1.913650562724108e+00,1.348962882591654e-01,1.837206117922615e+00,8.714067637177914e-01,1.021252302943931e+00,2.870154774101856e-01,3.102195577410185e+00,1.259621784788539e+01
1.911716450594667e+00,1.380384264602885e-01,1.834542183021627e+00,8.694743879359210e-01,1.021721553694607e+00,2.901239906720013e-01,3.101570690672001e+00,1.259732246090662e+01
1.909740616576224e+00,1.412537544622755e-01,1.831841884529601e+00,8.675200865991094e-01,1.022200653378362e+00,2.932617052034532e-01,3.100939605203453e+00,1.259846562841664e+01
1.907722227524903e+00,1.445439770745928e-01,1.829104916266809e+00,8.655437930741247e-01,1.022689788232818e+00,2.964284855093802e-01,3.100302385509380e+00,1.259964858706146e+01
1.905660436477729e+00,1.479108388168208e-01,1.826330975878784e+00,8.635454468613966e-01,1.023189147194057e+00,2.996247014331485e-01,3.099659101433148e+00,1.260087260735574e+01
1.903554382437113e+00,1.513561248436209e-01,1.823519762839775e+00,8.615249916464582e-01,1.023698921957197e+00,3.028505284599199e-01,3.099009828459920e+00,1.260213899565846e+01
1.901403190253621e+00,1.548816618912482e-01,1.820670978592476e+00,8.594823754081100e-01,1.024219306987389e+00,3.061059478628937e-01,3.098354647862894e+00,1.260344909496813e+01
1.899205970576195e+00,1.584893192461114e-01,1.817784327891067e+00,8.574175516769130e-01,1.024750499498114e+00,3.093911467727780e-01,3.097693646772778e+00,1.260480428500458e+01
1.896961819718935e+00,1.621810097358931e-01,1.814859518331484e+00,8.553304790505725e-01,1.025292699473023e+00,3.127063183677234e-01,3.097026918367724e+00,1.260620598334557e+01
1.894669819562160e+00,1.659586907437561e-01,1.811896260485830e+00,8.532211212874110e-01,1.025846109672478e+00,3.160516620323121e-01,3.096354562032312e+00,1.260765564625189e+01
1.892329037412161e+00,1.698243652461745e-01,1.808894267415329e+00,8.510894468141510e-01,1.026410935642142e+00,3.194271835203206e-01,3.095676683520320e+00,1.260915476957137e+01
1.889938526012006e+00,1.737800828749376e-01,1.805853255787423e+00,8.489354297164267e-01,1.026987385744287e+00,3.228329951907071e-01,3.094993395190707e+00,1.261070489022420e+01
1.887497323402069e+00,1.778279410038924e-01,1.802772946196290e+00,8.467590500619698e-01,1.027575671070415e+00,3.262694159073398e-01,3.094304815907340e+00,1.261230758492302e+01
1.885004452793500e+00,1.819700858609984e-01,1.799653061566122e+00,8.445602922922596e-01,1.028176005549175e+00,3.297363715060574e-01,3.093611071506057e+00,1.261396447355698e+01
1.882458922607627e+00,1.862087136662869e-01,1.796493329377455e+00,8.423391473122017e-01,1.028788605869834e+00,3.332340947297483e-01,3.092912294729748e+00,1.261567721824221e+01
1.879859726327225e+00,1.905460717963248e-01,1.793293480291593e+00,8.400956111298995e-01,1.029413691525023e+00,3.367626255230429e-01,3.092208625523043e+00,1.261744752526303e+01
1.877205842497615e+00,1.949844599758047e-01,1.790053249190932e+00,8.378296857976695e-01,1.030051484779333e+00,3.403221111042379e-01,3.091500211104238e+00,1.261927714527441e+01
1.874496234664228e+00,1.995262314968881e-01,1.786772375004740e+00,8.355413791930136e-01,1.030702210672995e+00,3.439127061600796e-01,3.090787206160079e+00,1.262116787441266e+01
1.871729851337411e+00,2.041737944669531e-01,1.783450600846835e+00,8.332307050944048e-01,1.031366097014525e+00,3.475345729936528e-01,3.090069772993653e+00,1.262312155515190e+01
1.868905625915432e+00,2.089296130854041e-01,1.780087673255843e+00,8.308976823960009e-01,1.032043374416082e+00,3.511875818201814e-01,3.089348081820181e+00,1.262514007825333e+01
1.866022476782117e+00,2.137962089502234e-01,1.776683344662766e+00,8.285423374234804e-01,1.032734276149917e+00,3.548721105409008e-01,3.088622310540901e+00,1.262722538052405e+01
1.863079307190459e+00,2.187761623949554e-01,1.773237370917236e+00,8.261647014721335e-01,1.033439038306561e+00,3.585881453909867e-01,3.087892645390987e+00,1.262937944972750e+01
1.860075005296560e+00,2.238721138568341e-01,1.769749512548822e+00,8.237648119771841e-01,1.034157899688220e+00,3.623356808324175e-01,3.087159280832417e+00,1.263160432331503e+01
1.857008444254230e+00,2.290867652767775e-01,1.766219535802019e+00,8.213427134144141e-01,1.034891101771404e+00,3.661150196562634e-01,3.086422419656263e+00,1.263390208885375e+01
1.853878482089656e+00,2.344228815319924e-01,1.762647210666825e+00,8.188984553718236e-01,1.035638888768472e+00,3.699260733656553e-01,3.085682273365655e+00,1.263627488680019e+01
1.850683961872069e+00,2.398832919019492e-01,1.759032312796320e+00,8.164320942893128e-01,1.036401507540982e+00,3.737689621401022e-01,3.084939062140102e+00,1.263872490985478e+01
1.847423711722448e+00,2.454708915685032e-01,1.755374623021253e+00,8.139436929270573e-01,1.037179207599624e+00,3.776438150641273e-01,3.084193015064127e+00,1.264125440442285e+01
1.844096544846222e+00,2.511886431509582e-01,1.751673927160596e+00,8.114333201197209e-01,1.037972241082838e+00,3.815506702791572e-01,3.083444370279157e+00,1.264386567157270e+01
1.840701259679716e+00,2.570395782768866e-01,1.747930016491994e+00,8.089010511092224e-01,1.038780862768292e+00,3.854895752485028e-01,3.082693375248503e+00,1.264656106885258e+01
1.837236639969078e+00,2.630267991895384e-01,1.744142688363707e+00,8.063469680884017e-01,1.039605329944344e+00,3.894607866355477e-01,3.081940286635547e+00,1.264934300891205e+01
1.833701454750514e+00,2.691534803926918e-01,1.740311744288363e+00,8.037711582991234e-01,1.040445902522879e+00,3.934640708446486e-01,3.081185370844648e+00,1.265221396372917e+01
1.830094458720058e+00,2.754228703338169e-01,1.736436993005714e+00,8.011737168247427e-01,1.041302842866484e+00,3.974997037956478e-01,3.080428903795648e+00,1.265517646233633e+01
1.826414392172995e+00,2.818382931264456e-01,1.732518248209515e+00,7.985547443763300e-01,1.042176415858743e+00,4.015676713527260e-01,3.079671171352726e+00,1.265823309415031e+01
1.822659981269934e+00,2.884031503126608e-01,1.728555329836261e+00,7.959143484091931e-01,1.043066888817253e+00,4.056680693372484e-01,3.078912469337248e+00,1.266138650876456e+01
1.818829938144672e+00,2.951209226666389e-01,1.724548063285769e+00,7.932526422988571e-01,1.043974531509275e+00,4.098008038296870e-01,3.078153103829687e+00,1.266463941816978e+01
1.814922961235584e+00,3.019951720402019e-01,1.720496281243277e+00,7.905697469719599e-01,1.044899615982144e+00,4.139661909586180e-01,3.077393390958618e+00,1.266799459474210e+01
1.810937735278016e+00,3.090295432513593e-01,1.716399820887494e+00,7.878657881734605e-01,1.045842416734098e+00,4.181639576273758e-01,3.076633657627376e+00,1.267145487709613e+01
1.806872931824727e+00,3.162277660168383e-01,1.712258527183072e+00,7.851408994570842e-01,1.046803210467217e+00,4.223943411121194e-01,3.075874241112119e+00,1.267502316642284e+01
1.802727209285641e+00,3.235936569296286e-01,1.708072250612548e+00,7.823952199736065e-01,1.047782276170636e+00,4.266572895497600e-01,3.075115489549760e+00,1.267870243042804e+01
1.798499213363322e+00,3.311311214825914e-01,1.703840848733365e+00,7.796288958136144e-01,1.048779894996851e+00,4.309529618801842e-01,3.074357761880184e+00,1.268249570261003e+01
1.794187577165647e+00,3.388441561392029e-01,1.699564184472387e+00,7.768420783354051e-01,1.049796350297676e+00,4.352811282232066e-01,3.073601428223206e+00,1.268640608523592e+01
1.789790921868756e+00,3.467368504525320e-01,1.695242128914688e+00,7.740349266053196e-01,1.050831927477793e+00,4.396420697520061e-01,3.072846869752006e+00,1.269043674814641e+01
1.785307856723344e+00,3.548133892335759e-01,1.690874558627589e+00,7.712076048689235e-01,1.051886914010962e+00,4.440356790255713e-01,3.072094479025571e+00,1.269459093139002e+01
1.780736979612946e+00,3.630780547701017e-01,1.686461356971193e+00,7.683602836209379e-01,1.052961599374960e+00,4.484618601017609e-01,3.071344660101761e+00,1.269887194604096e+01
1.776076877562937e+00,3.715352290971730e-01,1.682002415025627e+00,7.654931403535267e-01,1.054056274925647e+00,4.529208284873458e-01,3.070597828487346e+00,1.270328317367243e+01
1.771326126980137e+00,3.801893963205616e-01,1.677497629887944e+00,7.626063578797071e-01,1.055171233947142e+00,4.574125115555021e-01,3.069854411555502e+00,1.270782806982265e+01
1.766483294236464e+00,3.890451449942811e-01,1.672946905623255e+00,7.597001250879355e-01,1.056306771551053e+00,4.619368485743575e-01,3.069114848574357e+00,1.271251016416840e+01
1.761546936130463e+00,3.981071705534978e-01,1.668350153257010e+00,7.567746368500995e-01,1.057463184561232e+00,4.664937907040597e-01,3.068379590704060e+00,1.271733306041955e+01
1.756515600568948e+00,4.073802778041132e-01,1.663707291498459e+00,7.538300945169877e-01,1.058640771493883e+00,4.710835012291268e-01,3.067649101229127e+00,1.272230043830562e+01
1.751387826864886e+00,4.168693834703359e-01,1.659018244967760e+00,7.508667042159554e-01,1.059839832554258e+00,4.757057558503819e-01,3.066923855850382e+00,1.272741605606973e+01
1.746162146657937e+00,4.265795188015932e-01,1.654282946588925e+00,7.478846789033523e-01,1.061060669423200e+00,4.803607424306669e-01,3.066204342430667e+00,1.273268374830214e+01
1.740837084246080e+00,4.365158322401665e-01,1.649501335289992e+00,7.448842361510691e-01,1.062303585355334e+00,4.850482615426074e-01,3.065491061542607e+00,1.273810743068313e+01
1.735411157529126e+00,4.466835921509637e-01,1.644673358064564e+00,7.418655999035800e-01,1.063568884950465e+00,4.897684261815212e-01,3.064784526181521e+00,1.274369109757996e+01
1.729882878524607e+00,4.570881896148756e-01,1.639798968305887e+00,7.388289988157487e-01,1.064856874261441e+00,4.945210623466155e-01,3.064085262346615e+00,1.274943882715318e+01
